level_0,index,kp,score,ki
39,39,1.905,130.48973816225325,0.010499999999999999
80,80,1.905,130.999489705275,0.0115
36,36,1.905,131.5860953552995,0.0125
16,16,1.905,132.2307635759021,0.013500000000000002
41,41,1.905,132.91958016706602,0.014499999999999999
64,64,1.905,133.6421927371228,0.0155
28,28,1.905,134.39069130293507,0.0165
50,50,1.905,135.15882202635044,0.0175
86,86,1.905,135.94196576751003,0.018500000000000003
34,34,1.905,136.73662404703816,0.019500000000000003
88,88,1.715,138.3168737619848,0.010499999999999999
9,9,1.715,138.96191555352598,0.0115
30,30,1.715,139.6903826638268,0.0125
6,6,1.715,140.48140337996495,0.013500000000000002
63,63,1.715,141.3190422851403,0.014499999999999999
54,54,1.715,142.19248852265935,0.0155
69,69,1.715,143.09260661442354,0.0165
49,49,1.715,144.01392937930115,0.0175
55,55,1.715,144.95087243229787,0.018500000000000003
70,70,1.715,145.9011760860234,0.019500000000000003
21,21,1.5250000000000001,148.31910732615862,0.010499999999999999
91,91,1.5250000000000001,149.15389283607834,0.0115
62,62,1.5250000000000001,150.07949426764873,0.0125
12,12,1.5250000000000001,151.0721192847835,0.013500000000000002
57,57,1.5250000000000001,152.11502811185437,0.014499999999999999
58,58,1.5250000000000001,153.19621846685547,0.0155
56,56,1.5250000000000001,154.3068652281984,0.0165
95,95,1.5250000000000001,155.44129499283846,0.0175
89,89,1.5250000000000001,156.59614611667902,0.018500000000000003
10,10,1.5250000000000001,157.76924350788505,0.019500000000000003
75,75,1.3350000000000002,161.51526115022904,0.010499999999999999
94,94,1.3350000000000002,162.62655043909237,0.0115
87,87,1.3350000000000002,163.83827678803414,0.0125
33,33,1.3350000000000002,165.12293387420436,0.013500000000000002
73,73,1.3350000000000002,166.46385203641447,0.014499999999999999
96,96,1.3350000000000002,167.84965592805932,0.0155
66,66,1.3350000000000002,169.2747548014164,0.0165
65,65,1.3350000000000002,170.7346479050912,0.0175
31,31,1.3350000000000002,172.22851112217305,0.018500000000000003
7,7,1.3350000000000002,173.75782892738326,0.019500000000000003
27,27,1.145,179.65168059926177,0.010499999999999999
97,97,1.145,181.1905478947649,0.0115
4,4,1.145,182.8443637416755,0.0125
17,17,1.145,184.58909966474357,0.013500000000000002
82,82,1.145,186.4101941256783,0.014499999999999999
25,25,1.145,188.30139892366947,0.0155
23,23,1.145,190.2634942584653,0.0165
22,22,1.145,192.3011777568172,0.0175
71,71,1.145,194.42119568258244,0.018500000000000003
77,77,1.145,196.63108204077838,0.019500000000000003
13,13,0.9550000000000001,205.97322221827415,0.010499999999999999
19,19,0.9550000000000001,208.25614789624754,0.0115
46,46,0.9550000000000001,210.70739805088206,0.0125
99,99,0.9550000000000001,213.31645851043277,0.013500000000000002
84,84,0.9550000000000001,216.08777691652895,0.014499999999999999
42,42,0.9550000000000001,219.03615644268748,0.0155
51,51,0.9550000000000001,222.1841518069773,0.0165
18,18,0.9550000000000001,225.56603134414806,0.0175
14,14,0.765,247.4603917775637,0.010499999999999999
3,3,0.765,251.46530316811945,0.0115
29,29,0.765,255.91803844122472,0.0125
53,53,0.765,260.89322785462457,0.013500000000000002
78,78,0.765,266.5061515431269,0.014499999999999999
52,52,0.765,272.9306014125432,0.0155
92,92,0.765,280.4296249572872,0.0165
93,93,0.575,325.4599553174115,0.010499999999999999
32,32,0.575,337.22182455135544,0.0115
11,11,0.575,352.4549816989509,0.0125
26,26,0.575,373.22436089704865,0.013500000000000002
90,90,0.385,651.7137951718906,0.010499999999999999
43,43,0.385,765.454562058477,0.0115
0,0,0.765,,0.019500000000000003
1,1,0.385,,0.019500000000000003
2,2,0.385,,0.0175
5,5,0.385,,0.0125
8,8,0.575,,0.0165
15,15,0.765,,0.018500000000000003
20,20,0.385,,0.014499999999999999
24,24,0.195,,0.0155
35,35,0.385,,0.0165
37,37,0.195,,0.010499999999999999
38,38,0.195,,0.0115
40,40,0.195,,0.0175
44,44,0.385,,0.0155
45,45,0.195,,0.0125
47,47,0.195,,0.014499999999999999
48,48,0.575,,0.0175
59,59,0.195,,0.0165
60,60,0.385,,0.013500000000000002
61,61,0.765,,0.0175
67,67,0.575,,0.014499999999999999
68,68,0.9550000000000001,,0.018500000000000003
72,72,0.575,,0.019500000000000003
74,74,0.195,,0.013500000000000002
76,76,0.195,,0.019500000000000003
79,79,0.385,,0.018500000000000003
81,81,0.195,,0.018500000000000003
83,83,0.9550000000000001,,0.019500000000000003
85,85,0.575,,0.0155
98,98,0.575,,0.018500000000000003
